id,dataset,text,oracle
5114,lin_0,"Due to type erasure, it will have a method CODE_FRAGMENT on the byte code level.",0
5262,lin_0,it's worth a shot.,1
3703,lin_0,I think you also have to look at the database configuration.,0
2923,lin_0,Also each String object contains reference to char array.,0
2293,lin_0,and acts accordingly to the message received and displays the message in your CODE_FRAGMENT of choice.,0
3484,lin_0,Does CODE_FRAGMENT work?,0
2260,lin_0,A few notes.,0
3901,lin_0,and call this at every button: ( saves you the setOnClickListener ).,0
5685,lin_0,"The set can be a CODE_FRAGMENT, and you can wrap in an unmodifiable for good measure.",1
1328,lin_0,See this official doc.,0
6064,lin_0,( Should be visible in a couple of days ).,0
6205,lin_0,Hope it will help you.,0
201,lin_0,"in a application you can workaround with scaling the window size, but in an applet I wasn't able to solve that problem.",-1
1335,lin_0,"When the CODE_FRAGMENT command fails, it's almost always because of one of two things.",0
2896,lin_0,Adding API_NAME ( ) after awaitTermination ( ) method call can provide a delay which can get you the output you were looking for.,0
2049,lin_0,use an CODE_FRAGMENT and add a FILE_NAME if not in there already.,0
3445,lin_0,And DispatherConfig is this.,0
4749,lin_0,"Page contain also other components: grid, textarea and etc..",0
910,lin_0,There is a slight improvement that you can do that uses the CODE_FRAGMENT's internal cache by using its CODE_FRAGMENT method.,1
1880,lin_0,and to declare getters and setters for you fields.,0
1994,lin_0,We have a Java web application served from Apache Tomcat 6.,0
331,lin_0,I have already created a custom access decision voter and using it in a custom access decision manager.,0
6114,lin_0,This may or may not work.,-1
4913,lin_0,"like this just capture all user input data, No need for the database in this.",0
5128,lin_0,Data loss.,-1
1971,lin_0,I want to display only the headers of public functions.,0
5408,lin_0,At least I can commit a project on OSX and update to Windows and it still works.,1
3186,lin_0,Only the LoginHandler fails to compile.,-1
4779,lin_0,Here is what I have now.,0
866,lin_0,What about CODE_FRAGMENT and calling CODE_FRAGMENT on the returned CODE_FRAGMENT.,0
1518,lin_0,"CODE_FRAGMENT return an instance of type CODE_FRAGMENT which also CODE_FRAGMENT, but overrides some of the methods, including CODE_FRAGMENT and CODE_FRAGMENT.",0
3679,lin_0,The problem is that when reader contains CODE_FRAGMENT it is not reporting ready.,-1
1849,lin_0,This prints ``Press Enter ''to the console and makes sure the input box is empty.,0
6191,lin_0,While working with netbeans I have to make a new file of category CODE_FRAGMENT.,0
2495,lin_0,"However, you can find the documentation in the OpenJDK source itself.",0
4600,lin_0,I recommend that you change the way you store your day and use a date.,0
334,lin_0,Can i use the Object o parameter specified in the vote interface method?,0
3404,lin_0,The format CODE_FRAGMENT can be used to convert any string of digits to the base CODE_FRAGMENT.,1
940,lin_0,But the file output messes with the chinese characters.,-1
3256,lin_0,The program is just a hello world Program.,0
4619,lin_0,Like this: CODE_FRAGMENT.,0
989,lin_0,Any ideas?,0
3709,lin_0,The package gets deleted in the registry.,0
5500,lin_0,For direct and heap byte buffers CODE_FRAGMENT uses the CODE_FRAGMENT and CODE_FRAGMENT methods.,0
4626,lin_0,Note that the time zone ( for Rome ) is specified.,0
156,lin_0,You should declare CODE_FRAGMENT as CODE_FRAGMENT.,0
1774,lin_0,or more concisely.,1
4295,lin_0,This is not my intention.,-1
2195,lin_0,CODE_FRAGMENT is an extension of CODE_FRAGMENT that adds a CODE_FRAGMENT status code.,0
6172,lin_0,Use float or double.,0
897,lin_0,Add a listener to your ``Submit ''button.,0
4945,lin_0,( So the problem is CODE_FRAGMENT ).,-1
6238,lin_0,Now we're getting to the good part.,1
2556,lin_0,Take a look at this article.,0
526,lin_0,I am unsure how to return an array that will avoid returning CODE_FRAGMENT as an element of that array.,-1
98,lin_0,"I am trying to use JNDI for the JDBC connectivity, but it returns NULL DataSource.",0
1663,lin_0,An SQL EXCEPTION is being caught saying API_NAME: [ Microsoft ] [ ODBC Driver Manager ] Data source name not found and no default driver specified ''.,-1
954,lin_0,Regarding your 6 points.,0
4189,lin_0,"Now, about scoped proxies.",0
1731,lin_0,can be found here.,0
2584,lin_0,i am trying with Jackson but im getting no suitable output.,-1
3396,lin_0,But it isn't working like I expected.,-1
238,lin_0,Hope this helps.,0
5409,lin_0,I am trying to link my native library to FILE_NAME application but when I try to run it I get a CODE_FRAGMENT exception complaining about missing symbols ( CODE_FRAGMENT ).,-1
3739,lin_0,"If call is successful, the onResponse ( ) method is called.",0
5052,lin_0,"If you are looking for a way to write to streams in a more intuitive way, try CODE_FRAGMENT.",1
6161,lin_1,list of UIDefaults by @camickr.,0
2399,lin_1,Not sure why but I am getting following error from my FILE_NAME.,-1
691,lin_1,"In some cases there is a trade that you need to do, thus you should take into account your project's requirements.",0
5977,lin_1,"In the below code, a book time is a period of time in which appointments can be made.",0
469,lin_1,And you're able to use an external configuration file ( no extender needed ) to configure your logging.,1
2523,lin_1,Which one should be reported?,0
4780,lin_1,Edit: Thank you everyone for the help!,0
4918,lin_1,I have a CODE_FRAGMENT starting alongside with app.,0
269,lin_1,Which we currently are saved from using CODE_FRAGMENT.,1
6325,lin_1,Here is the code that i am using to post a comment.,0
6076,lin_1,There is another angle to this.,0
3888,lin_1,This way this variable get configured in every instance you use.,0
6102,lin_1,API_NAME can be used.,1
1610,lin_1,Any of the 5 options listed there should work just fine though.,1
1306,lin_1,Currently I'm working on a school project for a Java course.,0
898,lin_1,Note that ``myLabelForShowingTheOutput ''is the JLabel you want to print.,0
4916,lin_1,getQuestion and similarly with answer.,0
1024,lin_1,"So, to send a message to specific socket all you need is to call CODE_FRAGMENT.",0
4924,lin_1,"In this situation, when I click on the greyed out widget, I need to start the app.",0
648,lin_1,This should read all files in the single input directory.,0
4089,lin_1,FILE_NAME does not get listed in the maven dependency tree.,0
3432,lin_1,"However, having said that, if you have a concrete need for modifying the mock request created by CODE_FRAGMENT manually and then having that re-used with CODE_FRAGMENT, you can create the FILE_NAME in your project.",0
1655,lin_1,"Unrelated to that bug, but a bug still, you should not create swing components outside the event dispatch thread.",0
4883,lin_1,The only thing to take in account is that templates must be staticly generated ( in order to be processed at compile-time ).,0
2732,lin_1,"When i run this API_NAME, their shows only the labels, and No button aor text field.",0
965,lin_1,Not even sure what JSR that is.,-1
2036,lin_1,Updated code.,0
5849,lin_1,Our CODE_FRAGMENT was set to the internal host name.,0
5708,lin_1,I'm working with a program that runs lengthy SQL queries and stores the processed results in a HashMap.,0
5284,lin_1,I've given an example below.,0
266,lin_1,There is a central interface to access this API.,0
563,lin_1,Use CODE_FRAGMENT.,0
6221,lin_1,Its CODE_FRAGMENT method performs the CODE_FRAGMENT / CODE_FRAGMENT test described in the assignment.,0
2519,lin_1,In a word: No.,0
1567,lin_1,I've updated the example per the comment from Holger.,0
5146,lin_1,Specification is JSR 310.,0
4382,lin_1,And here is the result in an emulator.,0
5905,lin_1,here is an example hot to use countdownlatch.,0
2613,lin_1,Please not that in the above code CODE_FRAGMENT method will close not only the CODE_FRAGMENT object itself but also its underlining stream ( i.e. keyboard input ).,0
3788,lin_1,What method should I use to update existing ldap objects?,0
4615,lin_1,Should have been translated to UTC time.,0
3032,lin_1,I have also tried to use.,0
3480,lin_1,The good news: CODE_FRAGMENT is true.,1
3426,lin_1,In production I would assume that you are configuring either a CODE_FRAGMENT or a CODE_FRAGMENT.,0
4789,lin_1,You could write a Matcher that only accepts alphabetic characters.,0
4426,lin_1,FILE_NAME: 30 line is basically CODE_FRAGMENT.,0
2265,lin_1,See NativeSystem.,0
2435,lin_1,I have chosen this as a recurring pattern throughout the project.,0
2910,lin_1,If not I just wanted to know if Java serializes objects that haven't been initialized yet.,0
3472,lin_1,"When I run this on Windows, the console tells me.",0
1835,lin_1,You can then iterate through each departure element.,0
3514,lin_1,"Something like below,.",0
911,lin_1,"In a word, no.",0
4278,lin_1,"It isn't, not at least at JPA level.",0
4796,lin_1,Single page export is limitation of this library used to export PDFs and currently page size is simply increased to accommodate more data.,0
672,lin_1,You could use a kind of strategy.,0
5752,lin_1,"However, I'd suggest using a graph visualization library like JUNG etc..",0
2545,lin_1,"In lieu of that, however, in my experience, ASM offers probably the best combination of maturity, flexibility, and ease-of-use.",1
402,lin_1,and you should get the following test results.,0
2322,lin_1,"Note that the byte is written as given; to write a character that will be translated according to the platform's default character encoding, use the print ( char ) or println ( char ) methods.",0
3897,lin_1,I think the actual CODE_FRAGMENT would be a little more complicated to simplify.,-1
724,lin_1,APKInspector provides both analysis functions and graphic features for the users to gain deep insight into the malicious apps.,1
4167,lin_1,"I learned that such beans are proxied using CGLib, but still can not figure out how proxy can handle thread.",-1
2209,lin_1,Then you can consume the service and get a strongly typed list via.,0
5137,lin_1,"In the ThreeTen-Backport library for Java 6 & 7, use CODE_FRAGMENT.",0
3429,lin_1,See JIRA issue SPR-13217 for details.,0
398,lin_1,You have to use the PowerMockRule.,0
6329,lin_1,And now my app is getting it's app Token and i can use it to publish messages but the problem is those messages can not be viewed on the app page it self.,-1
4647,lin_1,EAR dependencies.,0
3600,lin_1,Please see the following sample code.,0
4508,lin_1,"The repository description on MVNrepository lists several compile dependencies, including Selenium-Chrome-Driver, Selenium-FirefoSMILE_FACEriver, etc..",0
3163,lin_1,So just use CODE_FRAGMENT instead of CODE_FRAGMENT.,0
2278,lin_1,Here is an example I don't understand.,-1
3002,lin_1,The logcat is as below.,0
5174,lin_1,The regex is.,0
744,lin_1,The full story here!,0
5317,lin_1,Since that time we've tended more toward option two.,0
959,lin_1,It is integrated in Hibernate 4.,0
3634,lin_1,The line that uses the CODE_FRAGMENT method should look something like this.,0
5658,lin_1,"Better to use FILE_NAME API ( there are several, I am not sure which one is better ), it's more straightforward solution.",1
4043,lin_1,At first we need to check that type is actually inherits from CODE_FRAGMENT.,0
3361,lin_1,"May be some resources will need to be copied from archives, too.",0
877,lin_1,I feel like there should be some way of doing this with the FILE_NAME but I can't figure out a way to use it to get properties from an entity.,0
1374,lin_1,I'm new API_NAME and trying to make a simple client-server app.,0
2202,lin_1,For me this worked.,1
4178,lin_1,And all injections occurs just once - on application starting.,0
1931,lin_1,Check the CODE_FRAGMENT library in your project.,0
2762,lin_1,Second: you are mixing CODE_FRAGMENT ( instantiation through JSF ) with CODE_FRAGMENT.,0
1504,lin_1,i try to return an output ( type date ) in a web service but i receive a weird result.,-1
740,lin_1,Gotcha!,0
3921,lin_1,"Which creates the file writer in append mode, see the docs here.",0
276,lin_1,"Or, assuming that CODE_FRAGMENT is a specific implementation of the CODE_FRAGMENT and AInterface is the central access we could just say, A uses a certain implementation of BInterface by default and so on and actually set them internally with new.",0
3407,lin_1,"If you want to print a int as binary, use CODE_FRAGMENT to get the string representation of a CODE_FRAGMENT in binary.",0
3966,lin_1,Assume you have this directory layout.,0
1005,lin_1,And I see lot of demo and sample code about broadcasting with CODE_FRAGMENT.,0
794,lin_1,In pre java7 simulating an ``in-memory filesystem ''is fairly complex.,0
2644,lin_1,You could simply add another Jar task and give it a unique classifier to distinguish it from the ``standard ''library.,0
1646,lin_1,"If it is 1 then updateBar will be called once, if 2 then updateBar will be called twice etc..",0
6099,lin_1,How to send asynchronous HTTP GET/POST request FILE_NAME without waiting/reading response?,0
2231,lin_1,"It does its job, but was built for our use case.",1
2150,lin_1,"The following warning messages should be ignored, they are `false-positive 'alert messages.",-1
2290,lin_1,Quote taken from the CODE_FRAGMENT documentation.,0
1882,lin_1,"And in your constructor, If you closeley look.",0
1517,lin_1,"CODE_FRAGMENT overrides these methods, so there is no fear that such an Exception will be thrown.",1
2114,lin_1,More detailed answer about why not allow it for non-parallel streams.,0
3842,lin_1,"What I don't understand is -- if one thread is still stuck, deadlocked, inside CODE_FRAGMENT, then how come all the other threads were able to get past the CODE_FRAGMENT call?",-1
2833,lin_1,I then click on the button but I get this error message.,0
6030,lin_1,Power tip: Stop thinking in any particular time zone.,0
5005,lin_1,Congratulations.,1
4485,lin_1,"Dependencies are: tomcat-embed-core, tomcat-embed-websocket, tomcat-juli and because of ( Spring websocket example - error - Are you running in a Servlet container that supports J SR-356? )",0
4996,lin_1,Optionally replacing the CODE_FRAGMENT with the actual processing logic.,0
436,lin_1,"Please note there is a bug in FILE_NAME, L996 +997.",-1
528,lin_1,My current result when I do a test run in main is.,0
2575,lin_1,I think that you have a problem described in this bug report.,-1
3553,lin_1,I have a string like this.,0
467,lin_1,Any help here?,0
1625,lin_1,I appreciate your help.,0
248,lin_1,Lets see....,0
4062,lin_1,"So if i changed the 1st comparator to sort by name, not price, the 2nd will changed as well, but not the opposite!",0
2635,lin_1,One which is the Pro full API.,0
5008,lin_1,"Java is a fine general programming language but databases are optimized for relational data processing: they just do it faster, with less CPU, less memory and less network traffic.",1
1284,lin_1,which someone converted to a JSON string as follows.,0
650,lin_1,It gives me the `Failed to Create the Java Virtual Machine '.,0
5936,lin_1,The renderer is selected based on the component family and renderer type by CODE_FRAGMENT.,0
5911,lin_1,"Guava provides a factory method for decorating each ExecutorService as ListeningExecutorService, so you are free to use whatever ExecutorService you had beforehand.",0
3909,lin_1,Create the number of buttons that you want with different button id.,0
4970,lin_1,"If you prefer using a CODE_FRAGMENT, you can call CODE_FRAGMENT to get the desired result.",0
3557,lin_1,is there FILE_NAME api to translate it?,0
5615,lin_1,"In a similar manner, you can populate the request scope ( ideally done in a filter ) using.",0
2217,lin_1,Is there a best practices in using bower with a web application such that the application isn't bloated with unnecessary third-party library files?,0
6222,lin_1,Your CODE_FRAGMENT method will pass a CODE_FRAGMENT directly to CODE_FRAGMENT.,0
3037,lin_1,( In this case I would have used.,0
1042,lin_1,thanks in advance.,0
1942,lin_1,If you see the source code of this method you will see that.,0
1703,lin_1,In the tutorial they are using ``Google plugin for eclipse ''to build and deploy the application on to the App Engine.,0
1160,lin_1,Then you can also add additional access paths to the stuff you want.,0
2287,lin_1,It will read a byte each time here.,0
4710,lin_1,but you can use the very util FILE_NAME like.,1
5915,lin_1,I also registered a new tag in CODE_FRAGMENT file as below.,0
259,lin_1,You can get all notifications using ftplet.,0
3410,lin_1,"I have a session bean, declared as.",0
3965,lin_1,but still nothing.,-1
5548,lin_1,Here is an example in Java.,0
2845,lin_1,The same number is: 2.,0
5916,lin_1,This configuration works very well.,1
4982,lin_1,"Comparison time should be fast, so total run time should be only slightly more than sum of run time for each ordered query.",1
3453,lin_1,Let's put your code inside a method.,0
4843,lin_1,More details in thread.,0
1107,lin_1,"No-one's picked this up, but why are you trying to mock private methods?",0
1336,lin_1,Your API_NAME is messed up and doesn't list dependencies properly.,-1
3370,lin_2,Dug this up: WEB_ADDRESS.,0
5653,lin_2,My code follows.,0
57,lin_2,the way this projects i associated is.,0
6040,lin_2,We can extract an CODE_FRAGMENT from each of our pair of CODE_FRAGMENT objects.,0
4332,lin_2,If I make the toString method static I get a different error in the FILE_NAME.,0
3719,lin_2,"install4j transforms entered package names to path names, so ''.''",0
1011,lin_2,But in the main case it works good enough.,1
2705,lin_2,Less margin for error.,-1
5,lin_2,and then override this with CODE_FRAGMENT so that I could do.,0
4942,lin_2,Because it's not initialized yet.,-1
6236,lin_2,"To clarify, a CODE_FRAGMENT object has a method called CODE_FRAGMENT with the following signature.",0
4489,lin_2,Thanks in advance!,0
3937,lin_2,Some technical details.,0
153,lin_2,Thanks.,0
5933,lin_2,"Basically, the component type is mandatory for JSF in order to create the component by CODE_FRAGMENT method.",0
1094,lin_2,Any ideas are appreciated.,0
1666,lin_2,Problem is pretty API_NAME.,0
5518,lin_2,This works fine.,1
4109,lin_2,I suspect there may not be a good solution for this right now.,-1
2533,lin_2,Any idea what i might be doing wrong.,-1
5144,lin_2,"To learn more, see the Oracle Tutorial.",0
4175,lin_2,Any suggestions or interesting links appreciated!,0
3681,lin_2,I tried the following and it returns nothing.,-1
2907,lin_2,This solution is more flexible.,1
3438,lin_2,Sam ( author of the Spring TestContext Framework ).,0
3468,lin_2,"Edit: To call an Oracle function from Java, see if this works for you.",0
980,lin_2,If your ``GUID ''is a CODE_FRAGMENT then the probabilities are quite low.,0
2425,lin_2,And my Gradle File looks like this.,0
2798,lin_2,Note: I'm new to JavaFX graphics library.,0
4274,lin_2,Why not?,0
3938,lin_2,I am using Java SE version NUMBER.,0
4507,lin_2,In my CODE_FRAGMENT script I have.,0
2456,lin_2,"Starting with the socket IO, since Java 7 the NIO API has been available, which means you can leave the threading required to prevent blocking the main thread to the OS.",0
4788,lin_2,"That said, you have a couple options.",0
4671,lin_2,I want to ask some questions.,0
5437,lin_2,See details of this method here: WEB_ADDRESS #API_NAME.,0
4429,lin_2,"As I read more into the article, I see that there is an API that looks like this.",0
2775,lin_2,"Use CODE_FRAGMENT instead, and get this string from a CODE_FRAGMENT.",0
2605,lin_2,How is blocking performed?,0
6071,lin_2,"However, this comes at a price.",0
137,lin_2,I would recommend that you check the documentation for what they do.,1
1128,lin_2,"Even Java5's support is going to end in two days ( 30 October 2009, that is! )",0
2669,lin_2,There is CODE_FRAGMENT to convert XML to JSON and mongo can deal with this on it's own.,1
5491,lin_2,"I wouldn't use CODE_FRAGMENT, I suggest using CODE_FRAGMENT or CODE_FRAGMENT or CODE_FRAGMENT or ( if you have to ) CODE_FRAGMENT.",0
816,lin_2,How should I encode these 2 parameters to be consistent with what w3schools says is correct ( or is w3schools wrong? ),0
3780,lin_2,"But, i didn't give me the thing i need!",0
4861,lin_2,Problems creating JAXBContext to marshal object as XML.,-1
529,lin_2,"You're creating an array that is as long as the original array passed in ( which fills all elements with null ), but not necessarily filling all the slots.",0
4172,lin_2,As you can see some of the code is generated at runtime in methods by CGLib enhancer.,0
2661,lin_2,"What I would like to do, take any random XML, and create object which will contain timestamps, integers, strings as well maps, basically it would be all decomposed based on the XML structure.",0
2298,lin_2,"Bear in mind, that the above code might not compile ( I haven't tried it out myself... ).",-1
6109,lin_2,the jsonp response looks like.,0
4746,lin_2,OutputRaw solve me issue.,0
5600,lin_2,It'll be available in JSF by CODE_FRAGMENT.,1
944,lin_2,Something like this.,0
1255,lin_2,"You are really asking too much of the Java runtime ( and Jackson library ), by trying to make them infer all the required information about the type to be instantiated ( based on the parameterized return ).",-1
5779,lin_2,You have to add FILE_NAME file using eclipse's interface.,0
4293,lin_2,"The reason I do not want to have method to accept Reader is that, I want my own method to have own control to decide what type of encoding should be used.",0
5395,lin_2,Add other jars from your JDK.,0
1298,lin_2,My code is as follows.,0
5694,lin_2,"Even in your own parsing approach, you can make it faster by returning the enum when you parse the list.",1
4070,lin_2,I have to implement gtalk like chat application using UDP FILE_NAME.,0
1553,lin_2,The best I've come across so far ( challenge 2 here ) is.,0
5593,lin_2,"To register the bean, try calling: CODE_FRAGMENT and pass a CODE_FRAGMENT you filled.",0
6326,lin_2,I am new to this so maybe i'm doing somthing wrong.,-1
4088,lin_2,Adding API_NAME-api-API_NAME resolved my NoClassDefFoundError.,0
4968,lin_2,Targetting to achieve.,0
685,lin_2,Hope it helps.,0
3737,lin_2,Any suggestion for a better design would be appreciated.,0
4362,lin_2,I inject the beans with AutowireHelper.,0
2983,lin_2,Please see attached cause exception.,0
664,lin_2,You include your if / switch in a Factory which takes care of the ugliness and hides the abundance of ifs.,1
5509,lin_2,"Until you create an object and assign it to the variable holding a reference to it, the value of that variable is CODE_FRAGMENT.",0
3992,lin_2,I've also verified previous GC logs and found that this issue was not forever.,0
5951,lin_2,"I have just a quick question: Are files created before they are finished, or are they finished and then created?",0
2761,lin_2,"Curiously, you are doing it right for the CODE_FRAGMENT property.",1
2120,lin_2,"Anyway, their current behavior does not allow what you want.",-1
4823,lin_2,Choose an appropriate locale ( or leave out the two locale arguments to use the computer's defaut ).,0
2951,lin_2,"But this library has a dependency to other native library, which cames bundled with the API_NAME.",0
4055,lin_2,That way you often don't need to implement CODE_FRAGMENT at all manually.,1
5983,lin_2,The book time should be from 20:00 -6:00.,0
819,lin_2,"Java's CODE_FRAGMENT complies to this RFC, with a few caveats mentioned in its Javadoc.",0
1414,lin_2,I'm developing a mobile application.,0
3430,lin_2,"As an aside, configuring the CODE_FRAGMENT that is created by the CODE_FRAGMENT is not supported.",-1
968,lin_2,"No, that not required/related.",0
1427,lin_2,So the question is: Is there another library you can recommend that I missed?,0
1675,lin_2,( note: select path from: c: / program file/smart solution/weighning management/system/API _ NAME ).,0
2683,lin_2,Component scan configuration file.,0
2111,lin_2,We want parallel treatment of our items.,0
4247,lin_2,On the right side of notification android is showing time.,0
4908,lin_2,"Here is my code of the survey, XML and JAVA.",0
4624,lin_2,Some comments about this source code.,0
2921,lin_2,It means 2-bytes per symbol in most case.,0
3547,lin_2,The simplest solution would be to use Java 8's Date/Time API.,1
3395,lin_2,I needed to write a program which adds binary numbers as if they were decimal.,0
681,lin_2,"This way, you can create new readers for any filetype dynamically.",0
4401,lin_2,Just use CODE_FRAGMENT instead of CODE_FRAGMENT.,0
1751,lin_2,"Once you have the CODE_FRAGMENT, you can get to the CODE_FRAGMENT and the public and private keys.",0
1206,lin_2,Declare below string FILE_NAME.,0
3851,lin_2,I also have set JAVA_HOME.,0
653,lin_2,Eclipse error: `Failed to create the Java Virtual Machine '.,-1
3346,lin_2,I like working with eclipse better than Android Studio.,0
4078,lin_2,Chat window using JTextPane no images though.,0
2886,lin_2,The following comment is found at the Java documentation.,0
293,lin_2,But is there a way to have Netbeans automatically connect with API_NAME and retrieve these files?,0
555,lin_2,Have a look at.,0
4726,lin_2,Doesn't a for loop work exactly like the slice operator in python.,0
4770,lin_2,The statement should have been.,0
1085,lin_2,Get the path of sd card.,0
2482,lin_2,and of course API_NAME.,0
3922,lin_2,There is a good example showing how to put a file onto WebDAV server.,1
4030,lin_2,"Remember, the bigger the heap, the longer the garbage collector takes, irrespective of whether you are using a concurrent collector such as CMS.",0
5364,lin_2,"All seems OK, but I get a NullPointerException ( NPE ).",-1
5505,lin_2,How can i solve it.,0
2013,lin_2,I am looking to plot cluster heat maps from gene expression data that I have.,0
4047,lin_2,One way would be.,0
5071,lin_2,"In your particular example, the code is asymmetric because the HTTP service it designed to talk to is asymmetric.",0
2137,lin_2,This works for me.,1
6309,lin_2,On Facebook i ran in to a problem.,-1
2397,lin_2,Hope this helps anyone out there!,0
69,lin_2,Hope that helps some of you with the same problem.,1
