uid,lexicon,pos,label,lemma,strength,source,isbase,exclude
hurt=>hurt=>v,hurt,v,n,hurt,w,mpqa+liu+afinn,t,
fissures=>fissure=>n,fissures,n,n,fissure,w,mpqa+liu,f,
shriek=>shriek=>v,shriek,v,n,shriek,s,mpqa+liu,t,
doldrums=>doldrums=>n,doldrums,n,n,doldrums,s,mpqa+liu,t,
unwillingness=>unwillingness=>n,unwillingness,n,n,unwillingness,s,mpqa+liu,t,
unfriendly=>unfriendly=>a,unfriendly,a,n,unfriendly,s,mpqa+liu,t,
unwanted=>unwanted=>a,unwanted,a,n,unwanted,s,mpqa+liu,t,
needfully=>needfully=>o,needfully,r,o,needfully,s,mpqa,t,
stern=>stern=>n,stern,n,n,stern,s,mpqa+liu,t,
impartiality=>impartiality=>n,impartiality,n,p,impartiality,w,mpqa+liu,t,
cannibal=>cannibal=>n,cannibal,n,n,cannibal,s,mpqa+liu,t,
strike=>strike=>v,strike,v,n,strike,w,mpqa+liu,t,
holy=>holy=>a,holy,a,p,holy,w,mpqa+liu,t,
successful=>successful=>a,successful,a,p,successful,w,mpqa+liu,t,
accomplishment=>accomplishment=>n,accomplishment,n,p,accomplishment,w,mpqa+liu,t,
wane=>wane=>v,wane,v,n,wane,w,mpqa+liu,t,
unjust=>unjust=>a,unjust,a,n,unjust,s,mpqa+liu,t,
malign=>malign=>a,malign,a,n,malign,s,mpqa+liu,t,
chatter=>chatter=>v,chatter,v,n,chatter,s,mpqa+liu,t,1
imperialist=>imperialist=>n,imperialist,n,n,imperialist,s,mpqa+liu,t,
disturb=>disturb=>v,disturb,v,n,disturb,s,mpqa+liu+afinn,t,
fawn=>fawn=>v,fawn,b,n,fawn,s,mpqa,t,
reprove=>reprove=>v,reprove,v,n,reprove,s,mpqa,t,
absolute=>absolute=>a,absolute,a,o,absolute,s,mpqa,t,
complaining=>complaining=>n,complaining,n,n,complaining,s,mpqa,t,
preferable=>preferable=>a,preferable,a,p,preferable,s,mpqa,t,
preferable=>preferable=>o,preferable,o,p,preferable,s,mpqa,t,
shirker=>shirker=>o,shirker,o,n,shirker,s,mpqa,t,
swing=>swing=>a,swing,a,o,swing,w,mpqa,t,1
swing=>swing=>n,swing,n,o,swing,w,mpqa,t,1
despondent=>despondent=>a,despondent,a,n,despondent,s,mpqa,t,
destined=>destined=>a,destined,a,p,destined,w,mpqa,t,
sickening=>sickening=>a,sickening,a,n,sickening,s,mpqa,t,
abide=>abide=>o,abide,o,p,abide,s,mpqa,t,
sickening=>sickening=>o,sickening,o,n,sickening,s,mpqa,t,
wink=>wink=>a,wink,a,p,wink,s,mpqa,t,
wink=>wink=>n,wink,n,p,wink,s,mpqa,t,
democratic=>democratic=>a,democratic,a,p,democratic,w,mpqa,t,
wrought=>wrought=>a,wrought,a,n,wrought,w,mpqa,t,
wrought=>wrought=>n,wrought,n,n,wrought,w,mpqa,t,
fit=>fit=>a,fit,a,p,fit,s,mpqa,t,
unforeseen=>unforeseen=>a,unforeseen,a,n,unforeseen,w,mpqa,t,
admirable=>admirable=>a,admirable,a,p,admirable,s,mpqa,t,
admirable=>admirable=>o,admirable,o,p,admirable,s,mpqa,t,
easier=>easier=>o,easier,o,p,easier,w,mpqa,t,
grievous=>grievous=>o,grievous,o,n,grievous,s,mpqa,t,
confute=>confute=>v,confute,v,p,confute,s,mpqa,t,
competitiveness=>competitiveness=>o,competitiveness,o,p,competitiveness,w,mpqa,t,
merrily=>merrily=>a,merrily,a,p,merrily,s,mpqa,t,
spotless=>spotless=>a,spotless,a,p,spotless,s,mpqa,t,
averse=>averse=>o,averse,o,n,averse,s,mpqa,t,
substantially=>substantially=>r,substantially,r,p,substantially,w,mpqa,t,
ameliorate=>ameliorate=>v,ameliorate,v,p,ameliorate,s,mpqa,t,
allay=>allay=>v,allay,v,p,allay,s,mpqa,t,
coupists=>coupists=>a,coupists,a,n,coupists,s,mpqa,t,
coupists=>coupists=>n,coupists,n,n,coupists,s,mpqa,t,
toleration=>toleration=>n,toleration,n,p,toleration,w,mpqa,t,
indiscretion=>indiscretion=>o,indiscretion,o,n,indiscretion,s,mpqa,t,
heavy-duty=>heavy-duty=>a,heavy-duty,a,o,heavy-duty,w,mpqa,t,
outburst=>outburst=>a,outburst,a,n,outburst,s,mpqa,t,
fugitive=>fugitive=>a,fugitive,a,n,fugitive,w,mpqa,t,
cornerstone=>cornerstone=>a,cornerstone,a,p,cornerstone,s,mpqa,t,
enormous=>enormous=>o,enormous,o,n,enormous,s,mpqa,t,
disturbed=>disturbed=>a,disturbed,a,n,disturbed,s,mpqa,t,
speedy=>speedy=>a,speedy,a,p,speedy,w,mpqa,t,
tempting=>tempting=>o,tempting,o,p,tempting,s,mpqa,t,
ineffectively=>ineffectively=>r,ineffectively,r,n,ineffectively,w,mpqa,t,
undisputable=>undisputable=>o,undisputable,o,p,undisputable,s,mpqa,t,
downheartedly=>downheartedly=>r,downheartedly,r,n,downheartedly,s,mpqa,t,
clamorous=>clamorous=>a,clamorous,a,n,clamorous,w,mpqa,t,
clarity=>clarity=>a,clarity,a,p,clarity,w,mpqa,t,
significance=>significance=>n,significance,n,p,significance,w,mpqa+afinn,t,
damage=>damage=>v,damage,v,n,damage,w,mpqa+liu,t,
hot=>hot=>a,hot,a,p,hot,w,mpqa+liu,t,
fanaticism=>fanaticism=>n,fanaticism,n,n,fanaticism,s,mpqa+liu,t,
beauty=>beauty=>n,beauty,n,p,beauty,s,mpqa+liu,t,
modest=>modest=>a,modest,a,p,modest,w,mpqa+liu,t,
unselfish=>unselfish=>a,unselfish,a,p,unselfish,s,mpqa+liu,t,
extortion=>extortion=>n,extortion,n,n,extortion,s,mpqa+liu,t,
effective=>effective=>a,effective,a,p,effective,w,mpqa+liu,t,
scourge=>scourge=>n,scourge,n,n,scourge,s,mpqa+liu,t,
revolt=>revolt=>v,revolt,v,n,revolt,w,mpqa+liu,t,
fictional=>fictional=>a,fictional,a,n,fictional,w,mpqa+liu,t,
unlawfully=>unlawfully=>r,unlawfully,r,n,unlawfully,w,mpqa+liu,t,
fidelity=>fidelity=>n,fidelity,n,p,fidelity,s,mpqa+liu,t,
fib=>fib=>v,fib,v,n,fib,s,mpqa+liu,t,
fib=>fib=>n,fib,n,n,fib,s,mpqa+liu,t,
insubstantial=>insubstantial=>a,insubstantial,a,n,insubstantial,s,mpqa+liu,t,
glorify=>glorify=>v,glorify,v,p,glorify,s,mpqa+liu,t,
enrich=>enrich=>v,enrich,v,p,enrich,w,mpqa+liu,t,
renunciation=>renunciation=>n,renunciation,n,n,renunciation,s,mpqa+liu,t,
aspersions=>aspersion=>n,aspersions,n,n,aspersion,s,mpqa+liu,f,
interrupt=>interrupt=>v,interrupt,v,n,interrupt,w,mpqa+liu,t,
impossible=>impossible=>a,impossible,a,n,impossible,w,mpqa+liu,t,
misfortune=>misfortune=>n,misfortune,n,n,misfortune,s,mpqa+liu,t,
fair=>fair=>n,fair,n,p,fair,w,mpqa+liu+afinn,t,
cornerstone=>cornerstone=>n,cornerstone,n,p,cornerstone,s,mpqa+liu,t,
rumple=>rumple=>v,rumple,v,n,rumple,s,mpqa+liu,t,
mendacity=>mendacity=>n,mendacity,n,n,mendacity,s,mpqa+liu,t,
relentlessness=>relentlessness=>n,relentlessness,n,n,relentlessness,s,mpqa+liu,t,
angelic=>angelic=>a,angelic,a,p,angelic,s,mpqa+liu,t,
playfully=>playfully=>r,playfully,r,p,playfully,s,mpqa+liu,t,
declaim=>declaim=>v,declaim,v,n,declaim,s,mpqa+liu,t,
traumatize=>traumatize=>v,traumatize,v,n,traumatize,s,mpqa+liu,t,
tired=>tired=>a,tired,a,n,tired,s,mpqa+liu,t,
preferably=>preferably=>o,preferably,r,p,preferably,s,mpqa,t,
damage=>damage=>n,damage,n,n,damage,w,mpqa+liu+afinn,t,
encourage=>encourage=>v,encourage,v,p,encourage,w,mpqa+liu+afinn,t,
master=>master=>a,master,a,p,master,s,mpqa,t,
incognizant=>incognizant=>a,incognizant,a,n,incognizant,s,mpqa,t,
bitter=>bitter=>a,bitter,a,n,bitter,s,mpqa,t,
terrifying=>terrifying=>a,terrifying,a,p,terrifying,s,mpqa,t,
terrifying=>terrifying=>o,terrifying,o,p,terrifying,s,mpqa,t,
collapse=>collapse=>a,collapse,a,n,collapse,w,mpqa,t,
enthrall=>enthrall=>v,enthrall,v,p,enthrall,s,mpqa,t,
stake=>stake=>a,stake,a,n,stake,w,mpqa,t,
stake=>stake=>n,stake,n,n,stake,w,mpqa,t,
wisdom=>wisdom=>a,wisdom,a,p,wisdom,s,mpqa,t,
predictable=>predictable=>a,predictable,a,o,predictable,w,mpqa,t,
peril=>peril=>n,peril,n,n,peril,s,mpqa,t,
endure=>endure=>v,endure,v,p,endure,s,mpqa,t,
feeling=>feeling=>a,feeling,a,o,feeling,s,mpqa,t,
feeling=>feel=>v,feeling,v,o,feel,s,mpqa,f,
willingness=>willingness=>a,willingness,a,p,willingness,s,mpqa,t,
shyly=>shyly=>r,shyly,r,n,shyly,s,mpqa,t,
meddlesome=>meddlesome=>o,meddlesome,o,n,meddlesome,s,mpqa,t,
arousal=>arousal=>o,arousal,o,p,arousal,s,mpqa,t,
responsible=>responsible=>a,responsible,a,p,responsible,w,mpqa,t,
recommended=>recommended=>o,recommended,o,p,recommend,s,mpqa,t,
recommended=>recommended=>o,recommended,o,p,recommended,s,mpqa,t,
amusing=>amusing=>a,amusing,a,p,amusing,s,mpqa,t,
amusing=>amusing=>o,amusing,o,p,amusing,s,mpqa,t,
limitless=>limitless=>a,limitless,a,o,limitless,s,mpqa,t,
limitless=>limitless=>n,limitless,n,o,limitless,s,mpqa,t,
diminishing=>diminishing=>a,diminishing,a,n,diminishing,w,mpqa,t,
vexing=>vexing=>o,vexing,o,n,vexing,s,mpqa,t,
affirmation=>affirmation=>a,affirmation,a,p,affirmation,s,mpqa,t,
drought=>drought=>a,drought,a,n,drought,w,mpqa,t,
preferences=>preferences=>a,preferences,a,p,preferences,s,mpqa,t,
preferences=>preference=>n,preferences,n,p,preference,s,mpqa,f,
expound=>expound=>v,expound,v,o,expound,w,mpqa,t,
dummy=>dummy=>n,dummy,n,n,dummy,s,mpqa,t,
wreck=>wreck=>v,wreck,v,n,wreck,w,mpqa,t,
disaffect=>disaffect=>v,disaffect,v,n,disaffect,s,mpqa,t,
consummate=>consummate=>a,consummate,a,p,consummate,s,mpqa,t,
marvel=>marvel=>n,marvel,n,p,marvel,s,mpqa,t,
bomb=>bomb=>v,bomb,v,n,bomb,w,mpqa,t,
lethal=>lethal=>a,lethal,a,n,lethal,w,mpqa,t,
touches=>touches=>a,touches,a,o,touches,s,mpqa,t,
touches=>touch=>n,touches,n,o,touch,s,mpqa,f,
busy=>busy=>a,busy,a,n,busy,w,mpqa,t,
quaint=>quaint=>a,quaint,a,p,quaint,s,mpqa,t,
mend=>mend=>v,mend,v,p,mend,w,mpqa,t,
wide=>wide=>a,wide,a,p,wide,w,mpqa,t,
foremost=>foremost=>a,foremost,a,p,foremost,s,mpqa,t,
altogether=>altogether=>o,altogether,o,o,altogether,s,mpqa,t,
relish=>relish=>v,relish,v,p,relish,s,mpqa,t,
spilling=>spilling=>a,spilling,a,n,spilling,s,mpqa,t,
spilling=>spilling=>n,spilling,n,n,spilling,s,mpqa,t,
altruistically=>altruistically=>a,altruistically,a,p,altruistically,s,mpqa,t,
adherence=>adherence=>n,adherence,n,p,adherence,w,mpqa,t,
wisdom=>wisdom=>n,wisdom,n,p,wisdom,s,mpqa+liu,t,
positively=>positively=>r,positively,r,p,positively,s,mpqa+liu,t,
feeling=>feeling=>n,feeling,n,o,feeling,s,mpqa+afinn,t,
idle=>idle=>a,idle,a,n,idle,w,mpqa+liu,t,
acclaim=>acclaim=>n,acclaim,n,p,acclaim,s,mpqa+liu,t,
acclaim=>acclaim=>v,acclaim,v,p,acclaim,s,mpqa+liu,t,
absorbed=>absorb=>v,absorbed,v,o,absorb,w,mpqa+afinn,f,
antagonistic=>antagonistic=>a,antagonistic,a,n,antagonistic,s,mpqa+liu,t,
wholesome=>wholesome=>a,wholesome,a,p,wholesome,s,mpqa+liu,t,
gripe=>gripe=>v,gripe,v,n,gripe,s,mpqa+liu,t,
gripe=>gripe=>n,gripe,n,n,gripe,s,mpqa+liu,t,
worthlessness=>worthlessness=>n,worthlessness,n,n,worthlessness,s,mpqa+liu,t,
imprudent=>imprudent=>a,imprudent,a,n,imprudent,s,mpqa+liu,t,
simplify=>simplify=>v,simplify,v,p,simplify,w,mpqa+liu,t,
affirmation=>affirmation=>n,affirmation,n,p,affirmation,s,mpqa+liu,t,
addict=>addict=>n,addict,n,n,addict,w,mpqa+liu,t,
reverence=>reverence=>n,reverence,n,p,reverence,s,mpqa+liu,t,
fluster=>fluster=>v,fluster,v,n,fluster,w,mpqa+liu,t,
drought=>drought=>n,drought,n,n,drought,w,mpqa+liu,t,
coward=>coward=>n,coward,n,n,coward,s,mpqa+liu+afinn,t,
detriment=>detriment=>n,detriment,n,n,detriment,s,mpqa+liu,t,
scream=>scream=>v,scream,v,n,scream,s,mpqa+liu,t,
incomplete=>incomplete=>a,incomplete,a,n,incomplete,w,mpqa+liu,t,
bliss=>bliss=>n,bliss,n,p,bliss,s,mpqa+liu+afinn,t,
undue=>undue=>a,undue,a,n,undue,s,mpqa+liu,t,
disaster=>disaster=>n,disaster,n,n,disaster,s,mpqa+liu+afinn,t,
rich=>rich=>a,rich,a,p,rich,w,mpqa+liu,t,
outstandingly=>outstandingly=>o,outstandingly,r,p,outstandingly,s,mpqa,t,
fair=>fair=>a,fair,a,p,fair,w,mpqa+liu,t,
wreck=>wreck=>n,wreck,n,n,wreck,w,mpqa+liu+afinn,t,
willingness=>willingness=>n,willingness,n,p,willingness,s,mpqa+liu+afinn,t,
marvel=>marvel=>v,marvel,v,p,marvel,s,mpqa+liu+afinn,t,
gallingly=>gallingly=>r,gallingly,r,n,gallingly,s,mpqa,t,
peripheral=>peripheral=>a,peripheral,a,n,peripheral,w,mpqa,t,
over-valuation=>over-valuation=>a,over-valuation,a,n,over-valuation,w,mpqa,t,
over-valuation=>over-valuation=>n,over-valuation,n,n,over-valuation,w,mpqa,t,
resigned=>resigned=>a,resigned,a,n,resigned,w,mpqa,t,
best=>best=>o,best,o,p,best,s,mpqa,t,
solace=>solace=>v,solace,v,p,solace,s,mpqa,t,
pressures=>pressures=>a,pressures,a,o,pressures,w,mpqa,t,
pressures=>pressure=>n,pressures,n,o,pressure,w,mpqa,f,
irk=>irk=>v,irk,v,n,irk,s,mpqa,t,
humankind=>humankind=>n,humankind,n,p,humankind,s,mpqa,t,1
scorn=>scorn=>v,scorn,v,n,scorn,s,mpqa,t,
ire=>ire=>n,ire,n,n,ire,s,mpqa,t,
skimpy=>skimpy=>a,skimpy,a,n,skimpy,w,mpqa,t,
nature=>nature=>a,nature,a,o,nature,w,mpqa,t,
nature=>nature=>n,nature,n,o,nature,w,mpqa,t,
superficial=>superficial=>n,superficial,n,n,superficial,s,mpqa,t,
defiance=>defiance=>a,defiance,a,n,defiance,s,mpqa,t,
undependable=>undependable=>a,undependable,a,n,undependable,s,mpqa,t,
pity=>pity=>v,pity,v,n,pity,s,mpqa,t,
disdain=>disdain=>n,disdain,n,n,disdain,s,mpqa,t,
disdain=>disdain=>v,disdain,v,n,disdain,s,mpqa,t,
fallacious=>fallacious=>a,fallacious,a,n,fallacious,s,mpqa,t,
incense=>incense=>v,incense,v,n,incense,w,mpqa,t,
argue=>argue=>v,argue,v,n,argue,s,mpqa,t,
eradicate=>eradicate=>v,eradicate,v,n,eradicate,w,mpqa,t,
mortified=>mortified=>a,mortified,a,n,mortified,s,mpqa,t,
penalize=>penalize=>v,penalize,v,n,penalize,s,mpqa,t,
subside=>subside=>v,subside,v,n,subside,w,mpqa,t,
much=>much=>o,much,o,o,much,w,mpqa,t,
adroitly=>adroitly=>a,adroitly,a,p,adroitly,s,mpqa,t,
obese=>obese=>a,obese,a,n,obese,s,mpqa,t,
obese=>obese=>n,obese,n,n,obese,s,mpqa,t,
doubts=>doubts=>a,doubts,a,n,doubt,s,mpqa,t,
doubts=>doubts=>a,doubts,a,n,doubts,s,mpqa,t,
gritty=>gritty=>a,gritty,a,n,gritty,w,mpqa,t,
manipulators=>manipulators=>a,manipulators,a,n,manipulators,s,mpqa,t,
player=>player=>a,player,a,o,player,w,mpqa,t,
player=>player=>n,player,n,o,player,w,mpqa,t,
upscale=>upscale=>a,upscale,a,p,upscale,w,mpqa,t,
rapprochement=>rapprochement=>a,rapprochement,a,p,rapprochement,w,mpqa,t,
rapprochement=>rapprochement=>n,rapprochement,n,p,rapprochement,w,mpqa,t,
haphazard=>haphazard=>a,haphazard,a,n,haphazard,w,mpqa,t,
harmony=>harmony=>a,harmony,a,p,harmony,s,mpqa,t,
perspicuously=>perspicuously=>r,perspicuously,r,p,perspicuously,s,mpqa,t,
emphatic=>emphatic=>o,emphatic,o,n,emphatic,s,mpqa,t,
ill-usage=>ill-usage=>n,ill-usage,n,n,ill-usage,s,mpqa,t,
dexterous=>dexterous=>a,dexterous,a,p,dexterous,s,mpqa,t,
haggard=>haggard=>a,haggard,a,n,haggard,s,mpqa,t,
opinions=>opinions=>a,opinions,a,o,opinions,s,mpqa,t,
opinions=>opinion=>n,opinions,n,o,opinion,s,mpqa,f,
sleepy=>sleepy=>a,sleepy,a,o,sleepy,w,mpqa,t,
forsaken=>forsaken=>o,forsaken,o,n,forsaken,s,mpqa,t,
beset=>beset=>a,beset,a,n,beset,w,mpqa,t,
ungovernable=>ungovernable=>a,ungovernable,a,n,ungovernable,s,mpqa,t,
ungovernable=>ungovernable=>n,ungovernable,n,n,ungovernable,s,mpqa,t,
prognosticate=>prognosticate=>v,prognosticate,v,o,prognosticate,s,mpqa,t,
obedient=>obedient=>a,obedient,a,p,obedient,s,mpqa,t,
innocent=>innocent=>a,innocent,a,p,innocent,w,mpqa,t,
inextricable=>inextricable=>a,inextricable,a,n,inextricable,s,mpqa+liu,t,
inextricably=>inextricably=>r,inextricably,r,n,inextricably,s,mpqa+liu,t,
defiance=>defiance=>n,defiance,n,n,defiance,s,mpqa+liu,t,
downgrade=>downgrade=>v,downgrade,v,n,downgrade,w,mpqa+liu,t,
dexterously=>dexterously=>r,dexterously,r,p,dexterously,s,mpqa+liu,t,
doubts=>doubt=>n,doubts,n,n,doubt,s,mpqa+liu+afinn,f,
fearlessly=>fearlessly=>r,fearlessly,r,p,fearlessly,s,mpqa+liu,t,
obscenity=>obscenity=>n,obscenity,n,n,obscenity,s,mpqa+liu,t,
irresponsibly=>irresponsibly=>r,irresponsibly,r,n,irresponsibly,s,mpqa+liu,t,
bewilder=>bewilder=>v,bewilder,v,n,bewilder,s,mpqa+liu,t,
bedlamite=>bedlamite=>n,bedlamite,n,n,bedlamite,s,mpqa+liu,t,
privilege=>privilege=>n,privilege,n,p,privilege,s,mpqa+liu,t,
incompetent=>incompetent=>a,incompetent,a,n,incompetent,s,mpqa+liu,t,
dote=>dote=>v,dote,v,p,dote,s,mpqa+liu,t,
ease=>ease=>n,ease,n,p,ease,w,mpqa+liu+afinn,t,
chill=>chill=>v,chill,v,n,chill,w,mpqa+liu,t,1
manipulators=>manipulator=>n,manipulators,n,n,manipulator,s,mpqa+liu,f,
severity=>severity=>n,severity,n,n,severity,s,mpqa+liu,t,
harmony=>harmony=>n,harmony,n,p,harmony,s,mpqa+liu,t,
fairly=>fairly=>r,fairly,r,p,fairly,w,mpqa+liu,t,
askance=>askance=>r,askance,r,n,askance,s,mpqa+liu,t,
plight=>plight=>n,plight,n,n,plight,s,mpqa+liu,t,
prison=>prison=>n,prison,n,n,prison,w,mpqa+liu+afinn,t,
ease=>ease=>v,ease,v,p,ease,w,mpqa+liu,t,
jeeringly=>jeeringly=>o,jeeringly,r,n,jeeringly,s,mpqa,t,
falter=>falter=>v,falter,v,n,falter,s,mpqa+liu,t,
truthful=>truthful=>a,truthful,a,p,truthful,s,mpqa+liu,t,
cannibalize=>cannibalize=>v,cannibalize,v,n,cannibalize,s,mpqa+liu,t,
intrusion=>intrusion=>n,intrusion,n,n,intrusion,w,mpqa+liu,t,
superficial=>superficial=>a,superficial,a,n,superficial,s,mpqa+liu,t,
pity=>pity=>n,pity,n,n,pity,s,mpqa+liu+afinn,t,
irretrievable=>irretrievable=>a,irretrievable,a,n,irretrievable,w,mpqa,t,
disagreement=>disagreement=>a,disagreement,a,n,disagreement,s,mpqa,t,
possible=>possible=>o,possible,o,o,possible,w,mpqa,t,
indicative=>indicative=>a,indicative,a,o,indicative,s,mpqa,t,
indicative=>indicative=>n,indicative,n,o,indicative,s,mpqa,t,
shadow=>shadow=>v,shadow,v,n,shadow,s,mpqa,t,
unique=>unique=>a,unique,a,p,unique,w,mpqa,t,
excitedness=>excitedness=>n,excitedness,n,p,excitedness,s,mpqa,t,
bonkers=>bonkers=>a,bonkers,a,n,bonkers,s,mpqa,t,
bonkers=>bonkers=>n,bonkers,n,n,bonkers,s,mpqa,t,
battlefield=>battlefield=>n,battlefield,n,n,battlefield,w,mpqa,t,
beneficial=>beneficial=>a,beneficial,a,p,beneficial,w,mpqa,t,
beneficial=>beneficial=>o,beneficial,o,p,beneficial,s,mpqa,t,
macabre=>macabre=>a,macabre,a,n,macabre,s,mpqa,t,
captive=>captive=>a,captive,a,n,captive,w,mpqa,t,
sure=>sure=>o,sure,o,p,sure,s,mpqa,t,
insistence=>insistence=>a,insistence,a,p,insistence,w,mpqa,t,
insistence=>insistence=>n,insistence,n,p,insistence,w,mpqa,t,
harassment=>harassment=>a,harassment,a,n,harassment,s,mpqa,t,
enemies=>enemies=>a,enemies,a,n,enemies,w,mpqa,t,
inhuman=>inhuman=>a,inhuman,a,n,inhuman,s,mpqa,t,
repression=>repression=>a,repression,a,n,repression,w,mpqa,t,
polluter=>polluter=>a,polluter,a,n,polluter,s,mpqa,t,
palatable=>palatable=>a,palatable,a,p,palatable,s,mpqa,t,
losing=>losing=>a,losing,a,n,losing,s,mpqa,t,
losing=>losing=>n,losing,n,n,losing,s,mpqa,t,
memorable=>memorable=>a,memorable,a,p,memorable,s,mpqa,t,
hardliners=>hardliners=>a,hardliners,a,n,hardliners,w,mpqa,t,
anomalous=>anomalous=>a,anomalous,a,n,anomalous,w,mpqa,t,
insecurity=>insecurity=>a,insecurity,a,n,insecurity,s,mpqa,t,
hamstrung=>hamstring=>v,hamstrung,v,n,hamstring,s,mpqa,f,
suggestions=>suggestions=>a,suggestions,a,p,suggestions,w,mpqa,t,
suggestions=>suggestion=>n,suggestions,n,p,suggestion,w,mpqa,f,
slightly=>slightly=>r,slightly,r,n,slightly,w,mpqa,t,
statements=>statements=>a,statements,a,o,statements,w,mpqa,t,
statements=>statement=>n,statements,n,o,statement,w,mpqa,f,
infraction=>infraction=>n,infraction,n,n,infraction,w,mpqa,t,
honeymoon=>honeymoon=>n,honeymoon,n,p,honeymoon,w,mpqa,t,
abjectly=>abjectly=>r,abjectly,r,n,abjectly,s,mpqa,t,
despised=>despised=>a,despised,a,n,despised,s,mpqa,t,
despised=>despised=>o,despised,o,n,despised,s,mpqa,t,
